Run,Times List,Average QBSolv time,Modes,Stoppedness,Goodness,Badness,Remaining Cars
10,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,"[5, 3, 4, 2, 3, 4, 5, 3, 0, 3, 0, 0, 0, 3, 3, 3, 2, 0, 5, 3, 0, 3, 3, 2, 0, 5, 3, 0, 0, 0, 5, 3, 3, 3, 3, 1]",15621.09090909091,1264,6014906.800000004,6230
11,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15444.833333333334,1397,6505710.1000000015,6230
12,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15293.23076923077,1517,7002078.800000003,6230
13,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15160.714285714286,1700,7503433.799999996,6230
14,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15043.866666666667,1883,8009991.199999991,6230
15,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,"[5, 3, 5, 2, 2, 4, 0, 3, 4, 3, 3, 0, 0, 0, 3, 3, 0, 4, 0, 0, 3, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 3, 3, 5, 3, 1]",15162.875,1980,8480164.99999999,6230
16,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,15024.529411764706,2091,8954398.09999998,6230
17,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,14901.166666666666,2189,9432679.29999998,6230
18,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,14789.894736842105,2363,9914522.999999948,6230
19,"[7.59976585, 7.360506529000002, 7.479552910000002, 7.459792943999993, 7.930149854999996, 7.5329748710000075, 7.430973463000001, 7.598762650000012, 7.364441487000022, 7.356860243, 7.597559439000008, 7.682135748000007, 7.4497218509999925, 7.5058846359999905, 7.7583485669999845, 7.689217138000004, 7.36819493400003, 7.556647105999957, 7.564273728999979, 7.507615976000011, 7.670966859000032, 11.734776162999992, 7.79317119000001, 7.535040262999985, 7.8198994489999905, 7.583038173000034, 7.579078083000013, 7.458540515000038, 11.097041607999984, 7.997527255000023, 7.836728004999998, 7.74259860799998, 7.536741932000041, 11.531650186999968, 7.497534759999894, 8.693260654000028, 7.827950528999963, 7.661312894000048, 7.527384318000031, 7.497216417000004, 7.567412481000019, 7.63409350500001, 7.717025390000003, 7.625256691000004, 7.6076033050001115, 7.55487946400001, 10.186354666999932, 7.4224019340000496, 7.40179410099995, 7.593858698999952, 7.3439572220000855, 7.858185800000001, 7.4749725379999745, 7.555736756999977, 7.39082452599996, 7.4846156830000155, 11.887022035999962, 7.5011101870001085, 25.493227004999994, 11.257967917000087]",,,14689.85,2538,10401111.099999934,6230
